CATEGORY,COUNTRY,FAC_NAME,FAC_STATUS,FAC_TYPE,OGIM_STATUS,lon,lat
Offshore platforms,Nigeria,Bonny terminal slot jetty,,Floating production storage and offloading,,7.158689881313599,4.426612043170471
Petroleum terminals,Libya,Marsa el brega,Operating,Above ground tanks,Operational,19.588888896101437,30.407751613317128
Crude oil refineries,Libya,Marsa el brega,Operating,,Operational,19.597708997985155,30.401660481278117
Gathering and processing,Libya,Marsa el brega,Operating,Treatment,Operational,19.591760557179857,30.406119582331574
Petroleum terminals,Norway,Kollsnes,,,,4.845401895908003,60.548331727915986
Petroleum terminals,Norway,Melk�ya,,,,23.599448974581197,70.68744908054438
Crude oil refineries,Indonesia,"Pangakalan brandan, north sumatra",,,,97.08254929698771,5.223631765463388
Natural gas flaring detections,Australia,,,Lng facility,,151.19680844207818,-23.77264937769914
Natural gas flaring detections,Australia,,,Lng facility,,151.2082817090887,-23.772502227364377
Natural gas flaring detections,Australia,,,Lng facility,,151.19074852374655,-23.75887075544399
Natural gas flaring detections,Papua new guinea,,,Lng facility,,147.01870210061625,-9.329879693449042
Natural gas flaring detections,Russian federation,,,Lng facility,,142.90857029561306,46.626509901537865
Equipment and components,Canada,,,Valve,,-123.03275162402554,49.14213851544567
Equipment and components,Canada,,,Riser,,-123.03275162402554,49.14213851544567
Equipment and components,Canada,,,Riser,,-123.03298795638138,49.14224999297202
Equipment and components,Canada,,,Valve,,-123.03298795638138,49.14224999297202
Equipment and components,Canada,,,Riser,,-122.7125614137818,58.80538060365033
Equipment and components,Canada,,,Valve,,-122.7125614137818,58.80538060365033
Equipment and components,Canada,,,Regulator,,-122.7125614137818,58.80538060365033
Petroleum terminals,United states of america,Tesoro alaska company - kenai pipe line company,,Marine terminal - crude,,-151.3866502103276,60.68827169627628
Oil and natural gas wells,United states of america,Stine ra sua;henry - 001,Plugged and abandoned,Gas,Abandoned,-93.3404716929359,29.773011955662266
Oil and natural gas wells,United states of america,M p erwin a - 053,Plugged and abandoned,Gas,Abandoned,-93.33265934789027,30.033022138088686
Oil and natural gas wells,United states of america,E.r.henry - 001,Plugged and abandoned,Gas,Abandoned,-93.32585921878376,29.773020873864372
Oil and natural gas wells,United states of america,Plan 3 ra sua;j a davis - 001,Plugged and abandoned,Gas,Abandoned,-93.33315876720826,29.775228128885832
Oil and natural gas wells,United states of america,Mp erwin a - 096,Shut-in productive -future utility,Gas,Inactive,-93.33760003185749,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 098,Shut-in productive -future utility,Gas,Inactive,-93.33775164129331,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 124,Shut-in productive -future utility,Gas,Inactive,-93.33731019028903,30.027479475479268
Natural gas flaring detections,United states of america,,,Lng facility,,-93.87472104925031,29.75986206665565
Natural gas flaring detections,United states of america,,,Lng facility,,-93.334639188758,29.771201560634562
Oil and natural gas wells,United states of america,E r henry et al - 001,Act 404 orphan well-eng,,Abandoned,-93.325961778108,29.77433184957408
Oil and natural gas wells,United states of america,M p erwin a swd - 057,Active- injection,,Injecting,-93.3385096884724,30.033240634040315
Oil and natural gas wells,United states of america,East hackberry swds - 001,Active- injection,,Injecting,-93.34729857664874,30.032767969328656
Oil and natural gas wells,United states of america,M p erwin a - 020-a,Dry and plugged,,Abandoned,-93.33816187859023,30.02771134873404
Oil and natural gas wells,United states of america,M p erwin /a/ - 039,Dry and plugged,,Abandoned,-93.338059319266,30.026618868975948
Oil and natural gas wells,United states of america,M p erwin /a/ - 063,Dry and plugged,,Abandoned,-93.34216169223517,30.032518259669654
Oil and natural gas wells,United states of america,M p erwin /a/ - 071,Dry and plugged,,Abandoned,-93.3371585808532,30.031020001715703
Oil and natural gas wells,United states of america,M p erwin a - 078,Dry and plugged,,Abandoned,-93.33270839800186,30.032478127760168
Oil and natural gas wells,United states of america,Sl 17526 - 002,Dry and plugged,,Abandoned,-93.33418881955161,29.780489868128893
Oil and natural gas wells,United states of america,M p erwin a swd - 004,Dry and plugged,,Abandoned,-93.33314093080405,30.031158233848355
Oil and natural gas wells,United states of america,Plan 2a ra sua;j s henry jr et - 004,Dry and plugged,,Abandoned,-93.33405058741894,29.780690527676303
Oil and natural gas wells,United states of america,M p erwin a - 066,Dry and plugged,,Abandoned,-93.3437580504123,30.032620818993887
Oil and natural gas wells,United states of america,Henry heirs - 002,Dry and plugged,,Abandoned,-93.33838929274395,29.767719002711825
Oil and natural gas wells,United states of america,E r henry etal - 003,Dry and plugged,,Abandoned,-93.33475958448645,29.77142897478829
Oil and natural gas wells,United states of america,"M p erwin ""a"" - 029",Permit expired,,Other,-93.338059319266,30.03181818080427
Oil and natural gas wells,United states of america,Mp erwin a - 099,Permit expired,,Other,-93.33783190511227,30.027479475479264
Oil and natural gas wells,United states of america,M p erwin a - 054,Plugged and abandoned,,Abandoned,-93.34316053087113,30.035519234678627
Oil and natural gas wells,United states of america,M p erwin a - 041,Plugged and abandoned,,Abandoned,-93.34526076746731,30.033418998082453
Oil and natural gas wells,United states of america,M p erwin a - 046,Plugged and abandoned,,Abandoned,-93.34176037314037,30.03271000101496
Oil and natural gas wells,United states of america,M p erwin a - 048,Plugged and abandoned,,Abandoned,-93.33776055949541,30.031920740128495
Oil and natural gas wells,United states of america,M p erwin a - 056,Plugged and abandoned,,Abandoned,-93.34115839449814,30.03302213808869
Oil and natural gas wells,United states of america,M p erwin a - 059,Plugged and abandoned,,Abandoned,-93.33486214381067,30.032121399675898
Oil and natural gas wells,United states of america,M p erwin a - 061-d,Plugged and abandoned,,Abandoned,-93.33236058811968,30.032420159446477
Oil and natural gas wells,United states of america,M p erwin a swd - 002,Plugged and abandoned,,Abandoned,-93.33706048063003,30.02830886827521
Oil and natural gas wells,United states of america,M p erwin a - 069,Plugged and abandoned,,Abandoned,-93.3382599788134,30.03291957876446
Oil and natural gas wells,United states of america,M p erwin a - 070,Plugged and abandoned,,Abandoned,-93.33925881744939,30.033320897859276
Oil and natural gas wells,United states of america,M p erwin a - 075,Plugged and abandoned,,Abandoned,-93.34366886839123,30.03407002683626
Oil and natural gas wells,United states of america,M p erwin a swd - 077,Plugged and abandoned,,Abandoned,-93.33566032289924,30.032009922149562
Oil and natural gas wells,United states of america,M p erwin a - 079,Plugged and abandoned,,Abandoned,-93.34041818372327,30.031077970029393
Oil and natural gas wells,United states of america,Sd 3 ra sua;sl 17526 - 001,Plugged and abandoned,,Abandoned,-93.33402829191368,29.78065039576682
Oil and natural gas wells,United states of america,Vua;j a davis - 001,Plugged and abandoned,,Abandoned,-93.33722100826795,29.77481789158891
Oil and natural gas wells,United states of america,Vua;j a davis - 002,Plugged and abandoned,,Abandoned,-93.3311521717342,29.776249263027072
Oil and natural gas wells,United states of america,Vua;j a davis - 003,Plugged and abandoned,,Abandoned,-93.33112987622894,29.77631169044182
Oil and natural gas wells,United states of america,Henry hrs - 001,Plugged and abandoned,,Abandoned,-93.33797905544704,29.775861321235425
Oil and natural gas wells,United states of america,M p erwin a swd - 001,Plugged and abandoned,,Abandoned,-93.33435826539163,30.02831778647731
Oil and natural gas wells,United states of america,Mio rb sua;c o noble heirs - 001,Plugged and abandoned,,Abandoned,-93.86490210873062,29.75795803050583
Oil and natural gas wells,United states of america,M p erwin a - 050-d,Reverted to single completion,,Other,-93.33956203632101,30.032808101238135
Oil and natural gas wells,United states of america,M p erwin a - 055-d,Reverted to single completion,,Other,-93.33545966335184,30.03302213808869
Oil and natural gas wells,United states of america,M p erwin /a/ - 019 a,Dry and plugged,,Abandoned,-93.33726114017743,30.026922087847577
Oil and natural gas wells,United states of america,M p erwin a - 027,Dry and plugged,,Abandoned,-93.34316053087113,30.027809448957218
Oil and natural gas wells,United states of america,M p erwin a - 030,Dry and plugged,,Abandoned,-93.34026211518639,30.032420159446477
Oil and natural gas wells,United states of america,M p irwin /a/ - 035,Dry and plugged,,Abandoned,-93.34255855222892,30.032219499899075
Oil and natural gas wells,United states of america,La st 3761 - 001,Dry and plugged,,Abandoned,-93.33566032289924,29.769618579760593
Oil and natural gas wells,United states of america,State lease 2543 - 001,Dry and plugged,,Abandoned,-93.33066167061833,29.77242781342426
Oil and natural gas wells,United states of america,State lease 2543 - 002,Dry and plugged,,Abandoned,-93.33066167061833,29.77242781342426
Oil and natural gas wells,United states of america,Gulf land a r/a c - 178,Dry and plugged,,Abandoned,-93.34725844473925,30.031720080581085
Oil and natural gas wells,United states of america,M p erwin a - 042-d,Active - producing,Oil,Producing,-93.34146161336977,30.033120238311867
Oil and natural gas wells,United states of america,M p erwin a - 028,Plugged and abandoned,Oil,Abandoned,-93.33586098244665,30.030819342168293
Oil and natural gas wells,United states of america,M p erwin a - 043,Plugged and abandoned,Oil,Abandoned,-93.34445812927768,30.033218338535043
Oil and natural gas wells,United states of america,M p erwin a - 047,Plugged and abandoned,Oil,Abandoned,-93.33426016516846,30.032821478541287
Oil and natural gas wells,United states of america,M p erwin a - 051,Plugged and abandoned,Oil,Abandoned,-93.34325863109432,30.03562179400285
Oil and natural gas wells,United states of america,M p erwin a - 062,Plugged and abandoned,Oil,Abandoned,-93.33975823676735,30.032420159446477
Oil and natural gas wells,United states of america,M p erwin a - 031,Plugged and abandoned,Oil,Abandoned,-93.33426016516846,30.02971794420809
Oil and natural gas wells,United states of america,"M p erwin ""a"" - 049",Plugged and abandoned,Oil,Abandoned,-93.3316605092543,30.031920740128495
Oil and natural gas wells,United states of america,"M p erwin ""a"" - 052",Plugged and abandoned,Oil,Abandoned,-93.3303584517467,30.033120238311867
Oil and natural gas wells,United states of america,"M p erwin ""a"" - 064",Plugged and abandoned,Oil,Abandoned,-93.34155971359294,30.02871910557212
Oil and natural gas wells,United states of america,J a davis - 001,Plugged and abandoned,Oil,Abandoned,-93.33026035152352,29.78003058072039
Oil and natural gas wells,United states of america,M p erwin a - 044,Shut-in productive -future utility,Oil,Inactive,-93.34445812927768,30.03221058169697
Oil and natural gas wells,United states of america,M p erwin a - 045,Shut-in productive -future utility,Oil,Inactive,-93.33765800017119,30.033022138088686
Oil and natural gas wells,United states of america,M p erwin a - 074,Shut-in productive -future utility,Oil,Inactive,-93.33736815860271,30.03338778437508
Oil and natural gas wells,United states of america,Mp erwin a - 094,Shut-in productive -future utility,Oil,Inactive,-93.33747071792693,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 095,Shut-in productive -future utility,Oil,Inactive,-93.3375420635438,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 097,Shut-in productive -future utility,Oil,Inactive,-93.33767137747435,30.02747055727715
Oil and natural gas wells,United states of america,Mp erwin a - 123,Shut-in productive -future utility,Oil,Inactive,-93.33739045410798,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 120,Shut-in productive -future utility,Oil,Inactive,-93.33791216893123,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 121,Shut-in productive -future utility,Oil,Inactive,-93.33798797364913,30.027479475479264
Oil and natural gas wells,United states of america,Mp erwin a - 125,Shut-in productive -future utility,Oil,Inactive,-93.33723884467216,30.027479475479268
Oil and natural gas wells,United states of america,C elender a - 002,Plugged and abandoned,Oil,Abandoned,-93.33966013654418,30.035019815360638
Oil and natural gas wells,United states of america,C elender a - 003,Plugged and abandoned,Oil,Abandoned,-93.33731019028902,30.035398838950186
Oil and natural gas wells,United states of america,C elender a - 004,Plugged and abandoned,Oil,Abandoned,-93.33756881815012,30.035398838950186
Oil and natural gas wells,United states of america,C elender a - 005d,Plugged and abandoned,Oil,Abandoned,-93.33446082471586,30.03530073872701
Oil and natural gas wells,United states of america,Gulf land a r/a c - 065,Plugged and abandoned,Oil,Abandoned,-93.34675902542126,30.032620818993887
Oil and natural gas wells,United states of america,Gulf land a r/a c - 070,Plugged and abandoned,Oil,Abandoned,-93.34675902542126,30.035117915583808
Oil and natural gas wells,United states of america,Gulf land a r/a c - 071,Plugged and abandoned,Oil,Abandoned,-93.34675902542126,30.035309656929112
Oil and natural gas wells,United states of america,Gulf land a r/a c - 077,Plugged and abandoned,Oil,Abandoned,-93.3473610040635,30.03151942103369
Oil and natural gas wells,United states of america,C elender a - 007,Plugged and abandoned,Oil,Abandoned,-93.3325612476671,30.036000817592388
Oil and natural gas wells,United states of america,C elender a - 008d,Plugged and abandoned,Oil,Abandoned,-93.3325612476671,30.036281740958763
Oil and natural gas wells,United states of america,Gulf land a r/a c - 180,Plugged and abandoned,Oil,Abandoned,-93.34765976383406,30.032509341467545
Oil and natural gas wells,United states of america,C ellender a - 001d,Plugged and abandoned,Oil,Abandoned,-93.34045831563274,30.034819155813228
Oil and natural gas wells,United states of america,C ellender a - 006d,Plugged and abandoned,Oil,Abandoned,-93.33471053437488,30.035291820524897
Oil and natural gas wells,United states of america,Gulf land a ra c - 074,Plugged and abandoned,Oil,Abandoned,-93.34675902542126,30.031711162378983
Oil and natural gas wells,United states of america,M p erwin /a/ - 037,Plugged and abandoned,Oil,Abandoned,-93.3316605092543,30.032322059223308
Natural gas compressor stations,United states of america,Splng-ngpl interconnect,,Transmission compressor station,,-93.87369099690699,29.74916914232949
Petroleum terminals,United states of america,Enterprise products seaway jones creek terminal,,Breakout tanks - crude,,-95.31960802269946,28.93590045579782
Petroleum terminals,United states of america,Exxonmobil - quintana station,,Marine terminal - crude,,-95.31144786777163,28.935441168389318
Oil and natural gas wells,United states of america,Flng - 10,Permitted,Permitted location,Proposed,-95.30936100847862,28.93611895174943
Stations - other,United states of america,Freeport marine terminal ii,,"Petroleum, oil, and lubricants pumping station",,-95.32042849729326,28.93527172254928
Stations - other,United states of america,Freeport,,"Petroleum, oil, and lubricants pumping station",,-95.31975963213524,28.93503984929449
Natural gas compressor stations,United states of america,Freeport lng import terminal,,Transmission compressor station,,-95.31824799687813,28.932560589108785
Natural gas flaring detections,United states of america,,,Lng facility,,-95.3205979431333,28.93500863558713
Oil and natural gas wells,United states of america,Gregory townsite oil unit no. 8 - 1,,Dry hole,,-97.28978155934554,27.916139717683176
Oil and natural gas wells,United states of america,"Hester, j. h. - 2 u",Plugged,Plugged gas well,Abandoned,-97.29468211140329,27.90980779418728
Oil and natural gas wells,United states of america,"Hester, j.h. et g.u. 3 - 3",Plugged,Plugged gas well,Abandoned,-97.29502100308335,27.90953132992197
Natural gas flaring detections,United states of america,,,Upstream oil,,-76.414112035847,38.39052796031807
Natural gas flaring detections,Peru,,,Lng facility,,-76.29938828394396,-13.24427033950913
Natural gas flaring detections,Trinidad and tobago,,,Lng facility,,-61.69618014379087,10.18308854811643
